year;month;state;latitude;longitude;firespots
1999;1;AMAZONAS;-23.711.133.333.333.300;-598.999.333.333.333.000;3
1999;1;MARANHAO;-22.573.947.222.222.200;-454.878.305.555.555.000;36
1999;1;MATO GROSSO;-126.606.333.333.333.000;-550.579.888.888.888.000;18
1999;1;PARA;-24.748.204.597.701.100;-485.469.666.666.666.000;87
1999;1;RONDONIA;-128.617.000.000.000.000;-605.131.000.000.000.000;1
1999;1;RORAIMA;34.032.246.666.666.600;-606.228.533.333.333.000;15
1999;2;AMAPA;-0.15500000000000000000;-526.831.000.000.000.000;1
1999;2;AMAZONAS;-27.631.669.767.441.800;-634.297.813.953.488.000;43
1999;2;MATO GROSSO;-126.199.875.000.000.000;-553.753.625.000.000.000;8
1999;2;PARA;-21.506.174.385.964.900;-535.099.105.263.157.000;285
1999;2;RONDONIA;-98.750.000.000.000.000;-625.617.000.000.000.000;1
1999;2;RORAIMA;22.562.095.000.000.000;-610.769.400.000.000.000;20
1999;3;AMAPA;113.833.500.000.000.000.000;-504.615.500.000.000.000;2
1999;3;AMAZONAS;-41.048.057.142.857.100;-661.014.142.857.142.000;7
1999;3;MARANHAO;-35.048.650.000.000.000;-456.928.000.000.000.000;4
1999;3;MATO GROSSO;-123.161.500.000.000.000;-559.678.000.000.000.000;4
1999;3;PARA;-50.887.714.285.714.200;-523.333.428.571.428.000;7
1999;3;RONDONIA;-127.341.125.000.000.000;-621.526.625.000.000.000;8
1999;3;RORAIMA;21.765.896.938.775.500;-606.842.071.428.571.000;98
1999;4;AMAZONAS;-37.330.600.000.000.000;-636.458.500.000.000.000;2
1999;4;MATO GROSSO;-120.328.976.744.186.000;-557.323.790.697.674.000;43
1999;4;PARA;-63.920.866.666.666.600;-522.840.166.666.666.000;6
1999;4;RONDONIA;-92.280.733.333.333.300;-632.332.666.666.666.000;3
1999;4;RORAIMA;27.236.312.500.000.000;-609.137.437.500.000.000;16
1999;5;MATO GROSSO;-123.922.571.428.571.000;-553.351.743.764.172.000;441
1999;5;PARA;-55.206.975.000.000.000;-513.335.750.000.000.000;4
1999;5;RONDONIA;-116.626.333.333.333.000;-625.489.000.000.000.000;3
1999;5;TOCANTINS;-70.280.600.000.000.000;-491.731.000.000.000.000;1
1999;6;AMAPA;0.39916500000000000000;-524.690.500.000.000.000;2
1999;6;AMAZONAS;-20.875.414.285.714.200;-644.829.285.714.285.000;7
1999;6;MARANHAO;-49.130.600.000.000.000;-469.517.000.000.000.000;1
1999;6;MATO GROSSO;-120.359.469.622.093.000;-553.537.178.779.069.000;1376
1999;6;PARA;-49.392.364.864.864.800;-495.191.297.297.297.000;37
1999;6;RONDONIA;-121.966.300.000.000.000;-608.217.800.000.000.000;10
1999;6;RORAIMA;124.602.000.000.000.000.000;-603.689.000.000.000.000;3
1999;6;TOCANTINS;-77.515.766.666.666.600;-491.432.666.666.666.000;3
1999;7;ACRE;-81.700.000.000.000.000;-725.900.000.000.000.000;1
1999;7;AMAZONAS;-69.432.609.090.909.000;-605.008.272.727.272.000;11
1999;7;MARANHAO;-46.019.595.454.545.400;-469.733.068.181.818.000;44
1999;7;MATO GROSSO;-116.260.678.285.483.000;-561.577.915.082.895.000;2473
1999;7;PARA;-64.642.250.407.331.900;-517.884.072.301.425.000;982
1999;7;RONDONIA;-112.395.537.037.037.000;-619.089.088.888.888.000;135
1999;7;RORAIMA;32.032.675.000.000.000;-609.207.250.000.000.000;4
1999;7;TOCANTINS;-70.946.140.000.000.000;-483.251.080.000.000.000;25
1999;8;ACRE;-98.640.010.447.761.100;-679.117.388.059.701.000;67
1999;8;AMAZONAS;-73.109.840.392.156.800;-608.665.517.647.058.000;255
1999;8;MARANHAO;-44.893.391.935.483.800;-467.134.247.311.827.000;186
1999;8;MATO GROSSO;-113.588.131.163.925.000;-562.281.286.928.464.000;12707
1999;8;PARA;-70.775.418.190.645.700;-514.416.634.083.184.000;6179
1999;8;RONDONIA;-113.289.973.127.530.000;-622.476.839.574.898.000;1976
1999;8;RORAIMA;29.750.000.000.000.000;-611.131.000.000.000.000;1
1999;8;TOCANTINS;-73.853.362.987.012.900;-486.884.649.350.649.000;154
1999;9;ACRE;-98.292.693.396.226.400;-682.308.051.886.792.000;212
1999;9;AMAPA;0.61451750000000000000;-511.107.250.000.000.000;4
1999;9;AMAZONAS;-80.005.267.289.719.600;-640.451.892.523.364.000;214
1999;9;MARANHAO;-43.097.150.666.666.600;-464.040.733.333.333.000;375
1999;9;MATO GROSSO;-119.585.820.647.002.000;-560.942.346.377.599.000;7357
1999;9;PARA;-65.130.252.682.816.300;-502.255.589.540.412.000;4417
1999;9;RONDONIA;-113.807.698.790.454.000;-624.353.643.347.499.000;3059
1999;9;RORAIMA;37.699.100.000.000.000;-604.866.000.000.000.000;3
1999;9;TOCANTINS;-71.597.557.849.462.300;-485.848.660.215.053.000;465
1999;10;ACRE;-95.772.979.365.079.300;-688.678.587.301.587.000;63
1999;10;AMAPA;102.291.360.000.000.000.000;-512.420.040.000.000.000;25
1999;10;AMAZONAS;-38.395.713.235.294.100;-611.124.636.554.621.000;476
1999;10;MARANHAO;-44.934.008.713.692.900;-465.339.087.136.929.000;1446
1999;10;MATO GROSSO;-120.217.678.837.719.000;-562.207.776.589.912.000;3648
1999;10;PARA;-43.384.869.140.469.500;-508.621.278.352.566.000;5026
1999;10;RONDONIA;-106.553.920.541.401.000;-626.632.610.934.182.000;1884
1999;10;RORAIMA;23.732.790.000.000.000;-602.955.600.000.000.000;10
1999;10;TOCANTINS;-66.890.831.481.481.400;-485.732.759.259.259.000;216
